Zipcode,Household_Income,Income_per_Capita,Population
94303,103680.0,49065.0,48039.0
94305,54653.0,33775.0,15730.0
94403,123968.0,60951.0,44300.0
94572,69491.0,34356.0,10411.0
94579,79907.0,32697.0,22040.0
94589,64860.0,25496.0,30668.0
94603,50742.0,19338.0,34593.0
94605,69087.0,37495.0,43112.0
94612,51006.0,48526.0,16062.0
94706,91588.0,47251.0,21040.0
94923,86802.0,111809.0,846.0
94928,66621.0,30602.0,44103.0
94938,88636.0,49254.0,790.0
94939,107055.0,80478.0,7108.0
94945,106425.0,51320.0,19035.0
94569,153750.0,90611.0,205.0
94517,143591.0,62039.0,13476.0
94545,83132.0,31905.0,32525.0
94556,150372.0,77165.0,16368.0
94574,89095.0,65205.0,8677.0
94583,146696.0,59416.0,35102.0
94586,125568.0,68908.0,899.0
94601,46830.0,20335.0,52299.0
94621,38591.0,15973.0,35287.0
94708,160938.0,91816.0,11455.0
94710,67250.0,40417.0,7461.0
94117,152071.0,86117.0,44239.0
94134,76229.0,31223.0,42471.0
94404,143109.0,68486.0,36905.0
94506,205121.0,83545.0,25258.0
94509,60821.0,25688.0,66933.0
94510,98940.0,50686.0,28262.0
94801,51516.0,22799.0,29958.0
94803,85266.0,41315.0,26165.0
94901,87495.0,51228.0,42482.0
94947,102748.0,52674.0,26573.0
94952,84772.0,45766.0,36184.0
94960,130016.0,77709.0,15725.0
94970,120882.0,74144.0,689.0
94542,108438.0,42189.0,14217.0
94550,128466.0,55188.0,50500.0
95387,39952.0,12546.0,710.0
95403,73985.0,35630.0,45355.0
95409,74333.0,45402.0,27312.0
95422,29069.0,16813.0,15550.0
95423,44611.0,29777.0,3757.0
95425,69153.0,34695.0,10586.0
95454,34699.0,24404.0,2198.0
95456,44261.0,35388.0,754.0
95459,50972.0,24852.0,618.0
95464,45246.0,20368.0,2538.0
95493,62760.0,31098.0,241.0
95525,46653.0,27763.0,1433.0
94553,96997.0,45650.0,49699.0
94602,90661.0,50952.0,29933.0
94608,82753.0,50280.0,30289.0
94609,80026.0,47790.0,22811.0
94931,76497.0,35693.0,8601.0
94946,103750.0,83027.0,694.0
94950,70547.0,49014.0,134.0
94973,72135.0,70392.0,1342.0
94555,142135.0,51491.0,38388.0
94571,66911.0,35946.0,9784.0
91344,92286.0,38304.0,53266.0
